code,name,type,state
3694,海華,,上櫃
3698,隆達,,上櫃
3701,大眾控,,上櫃
3702,大聯大,,上櫃
3703,欣陸,紡織纖維,上市
3704,合勤控,,上櫃
3705,永信,,上櫃
3706,神達,,上櫃
3707,漢磊,,上櫃
3708,上緯投控,紡織纖維,上市
3709,鑫聯大投控,,上櫃
3710,連展投控,,上櫃
3711,日月光投控,,上櫃
3712,永崴,,上櫃
3714,富采,,上市
4102,永日,,上櫃
4104,佳醫,,上櫃
4105,東洋,,上櫃
4106,雃博,,上櫃
4107,邦特,,上櫃
4108,懷特,,上市
4109,加捷生醫,,上櫃
4111,濟生,,上櫃
4113,聯上,,上櫃
4114,健喬,,上櫃
4116,明基醫,,上市
4117,普生,,上櫃
4119,旭富,,上櫃
4120,友華,,上櫃
4121,優盛,,上市
4123,晟德,,上櫃
4126,太醫,,上櫃
4127,天良,,上櫃
4128,中天,,上櫃
4129,聯合,,上櫃
4130,健亞,,上櫃
4131,晶宇,,上櫃
4132,國鼎,,上櫃
4133,亞諾法,,上市
4136,太和-KY,,上櫃
4137,麗豐-KY,,上市
4138,曜亞,,上市
4139,馬光-KY,,上櫃
4141,龍燈-KY,,上櫃
4142,國光生,,上櫃
4144,康聯-KY,,上市
4147,中裕,,上櫃
4148,全宇生技-KY,,上櫃
4150,優你康,,上市
4151,明躍,,上櫃
4152,台微體,,上櫃
4153,鈺緯,,上櫃
4154,康樂-KY,,上市
4155,訊映,,上櫃
4157,太景*-KY,,上櫃
4160,創源,,上市
4161,聿新科,,上櫃
4162,智擎,,上市
4163,鐿鈦,,上櫃
4164,承業醫,,上市
4166,友霖,,上櫃
4167,展旺,,上櫃
4168,醣聯,,上櫃
4169,泰宗,,上櫃
4170,鑫品,,上市
4171,瑞基,,上市
4172,因華,,上市
4173,久裕,,上市
4174,浩鼎,,上櫃
4175,杏一,,上市
4183,福永生技,,上市
4186,尖端醫,,上櫃
4188,安克,,上市
4190,佐登-KY,,上市
4191,法德藥,,上市
4192,杏國,,上櫃
4194,禾生技,,上市
4195,基米,,上櫃
4197,暐世,,上櫃
4198,環瑞醫,,上櫃
4205,中華食,,上櫃
4207,環泰,,上市
4303,信立,,上櫃
4304,勝昱,,上市
4305,世坤,,上市
4306,炎洲,,上市
4401,東隆興,,上櫃
4402,福大,,上櫃
4406,新昕纖,,上櫃
4413,飛寶企業,,上櫃
4414,如興,,上櫃
4416,三圓,,上櫃
4417,金洲,,上市
4419,元勝,,上市
4420,光明,,上櫃
4426,利勤,,上市
4429,聚紡,,上櫃
4430,耀億,,上市
4431,敏成,,上櫃
4432,銘旺實,,上市
4433,興采,,上市
4438,廣越,,上櫃
4439,冠星-KY,,上櫃
4440,宜新實業,,上櫃
4502,健信,,上櫃
4503,金雨,,上櫃
4506,崇友,,上櫃
4510,高鋒,,上櫃
4513,福裕,,上櫃
4523,永彰,,上櫃
4526,東台,,上市
4527,方土霖,,上櫃
4528,江興鍛,,上櫃
4529,淳紳,資訊服務,上櫃
4530,宏易,,上櫃
4532,瑞智,,上櫃
4533,協易機,,上櫃
4534,慶騰,,上櫃
4535,至興,,上市
4536,拓凱,,上市
4537,旭東,,上櫃
4538,大詠城,,上櫃
4540,全球傳動,,上市
4541,晟田,,上市
4542,科嶠,IC,上櫃
4543,萬在,,上市
4544,春日,,上市
4545,銘鈺,,上櫃
4546,長亨,,上市
4549,桓達,,上市
4550,長佳,,上櫃
4551,智伸科,,上櫃
4552,力達-KY,,上櫃
4553,盛復,,上市
4554,橙的,,上櫃
4555,氣立,,上櫃
4556,旭然,,上櫃
4557,永新-KY,,上櫃
4558,寶緯,,上櫃
4559,久裕興,,上市
4560,強信-KY,,上櫃
4561,健椿,,上櫃
4562,穎漢,,上櫃
4563,百德,,上櫃
4564,元翎,,上櫃
4565,宏偉,,上櫃
4566,時碩工業,,上櫃
4568,科際精密,,上櫃
4570,傑生,,上櫃
4571,鈞興-KY,,上櫃
4572,駐龍,,上櫃
4573,高明鐵,,上櫃
4575,銓寶,,上櫃
4576,大銀微系統,,上櫃
4578,總格精密,,上櫃
4580,捷流閥業,,上櫃
4582,聚恆,,上櫃
4609,唐鋒,,上櫃
4702,中美實,,上櫃
4706,大恭,,上櫃
4707,磐亞,,上櫃
4711,永純,,上櫃
4712,南璋,,上櫃
4714,永捷,,上櫃
4716,大立,,上櫃
4720,德淵,,上櫃
4721,美琪瑪,,上市
4722,國精化,,上櫃
4725,信昌化,,上市
4726,永昕,,上櫃
4728,雙美,,上櫃
4729,熒茂,,上櫃
4730,通用,,上櫃
4732,彥臣,,上櫃
4735,豪展,,上櫃
4736,泰博,,上市
4737,華廣,,上櫃
4738,尚化,,上櫃
4739,康普,,上櫃
4741,泓瀚,,上櫃
4743,合一,,上櫃
4744,皇將,,上櫃
4745,合富-KY,,上櫃
4746,台耀,,上櫃
4747,強生,,上櫃
4754,國碳科,,上櫃
4755,三福化,,上櫃
4760,勤凱,,上市
4763,材料-KY,IC,上市
4764,雙鍵,,上櫃
4765,磐采,,上櫃
4766,南寶,,上櫃
4767,誠泰科技,,上櫃
4768,晶呈科技,,上櫃
4803,VHQ-KY,,上櫃
